Literal Lemma;IWN ID;MariTerm ID;IWN sense;MariT sense;Gloss S. (WM);Total S.;T. Relation S.;Malus;Bonus;MariTerm Gloss
penna;N#5022;N#1548;1;1;0.06;1.21;0.82;0.00;0.33;angolo superiore delle vele latine  dei fiocchi e delle vele di strallo  al quale si collega la drizza per issare e tesare la vela
campionato;N#27244;N#2097;1;1;0.06;1.21;0.82;0.00;0.33;
fischio;N#7675;N#1480;1;1;0.05;1.20;0.82;0.00;0.33;congegno sonoro di segnalazione usato sulle navi per indicare variazioni di andatura o di rotta
utensile;N#1088;N#2173;1;1;1.00;1.20;4.16;-7.92;3.96;arnese atto all esecuzione di determinate operazioni proprie di un arte  di un mestiere o di una tecnica
tangone;N#15057;N#1697;1;1;0.04;1.19;0.82;0.00;0.33;lunga asta  in lega leggera o in fibre composite  che serve per mantenere esterno dalla coperta il punto di mura dello spinnaker e di altre vele di prua non inferite
rotaia;N#5238;N#1793;1;1;0.04;1.19;0.82;0.00;0.33;profilo metallico che serve come guida di scorrimento per un bozzello  un carrello  una manovra  ecc
semifinale;N#27849;N#2102;1;1;0.04;1.19;0.82;0.00;0.33;
caravella;N#7578;N#364;1;1;0.03;1.18;0.82;0.00;0.33;veliero leggero e veloce  usato soprattutto da portoghesi e spagnoli nei secoli xv e xvi  per la guerra e per il traffico
certificazione;N#12204;N#238;2;1;1.00;1.16;0.82;-0.99;0.33;dichiarazione scritta rilasciata da autorità pubbliche in cui si attesta la realtà o la verità di un fatto
tecnologia;N#1907;N#2137;2;2;1.00;1.16;0.82;-0.99;0.33;attività volta a creare congegni e macchinari
cabotaggio;N#49717;N#208;1;1;0.33;1.15;0.82;-0.33;0.33;navigazione lungo le coste di porto in porto generalmente a scopo commerciale
traguardo;N#9927;N#249;3;3;1.00;1.15;0.15;-0.33;0.33;punto che si vuole raggiungere
esportazione;N#28878;N#2186;2;2;0.00;1.15;0.82;0.00;0.33;l insieme delle cose esportate
tuono;N#22902;N#2525;1;1;0.00;1.15;0.82;0.00;0.33;fenomeno acustico causato dall onda d urto prodotta dalla violenta espansione dell aria in prossimità dei fulmini
velico;AG#43649;AG#730;1;3;0.00;1.15;0.82;0.00;0.33;che avviene per mezzo delle vele
coppa;N#22960;N#2098;3;1;-0.01;1.14;0.82;0.00;0.33;
barografo;N#12246;N#978;1;1;0.29;1.12;0.50;0.00;0.33;strumento che  collegato a un barometro  riporta su un rotolo di carta i valori della pressione atmosferica nel tempo  sotto forma di diagramma anch esso può essere sia meccanico che elettronico
bordeggio;N#5149;N#878;1;1;-0.03;1.12;0.82;0.00;0.33;traiettoria a zigzag che un veliero deve seguire per risalire il vento un buon bordeggio permette di fare un cammino più breve o di coprire una distanza con maggior velocità
bastimento;N#51108;N#2347;1;1;1.00;1.12;0.12;-0.33;0.33;nave per passeggeri o da carico di grandi dimensioni
naufragio;N#29731;N#1523;1;1;1.00;1.11;0.44;-0.66;0.33;incidente marittimo per cui una nave affonda o va distrutta
noleggiare;V#38789;V#315;2;2;1.00;1.11;0.11;-0.33;0.33;prendere in noleggio
imposizione;N#4239;N#273;3;3;1.00;1.10;0.76;-0.99;0.33;le tasse  versamento di denaro dovuto dai cittadini allo stato
carenare;V#32246;V#765;1;1;0.03;1.10;1.07;-0.33;0.33;mettere in secco la carena di una nave per operazioni di manutenzione eo riparazione
torneo;N#12725;N#2101;3;1;-0.05;1.10;0.82;0.00;0.33;
azimut;N#13238;N#926;1;1;-0.06;1.09;0.82;0.00;0.33;nella navigazione astronomica indica l arco di cerchio compreso tra il nord e la verticale dell astro stesso
messaggio;N#16880;N#1445;1;1;0.00;1.09;0.76;0.00;0.33;la cosa comunicata
bolina;N#4848;N#102;1;1;-0.07;1.08;0.82;0.00;0.33;"negli antichi velieri  venivano chiamate così le cime che servivano a tirare il più possibile verso prua il lato della vela dalla parte di entrata del vento  per navigare il più possibile vicino alla direzione del vento
"
fregata;N#49594;N#554;3;3;1.00;1.08;0.41;-0.33;0.00;nave militare con compiti di scorta  con dislocamento fra 1650 e 7800 tonnellate
cala;N#49769;N#196;2;2;1.00;1.08;0.41;-0.33;0.00;insenatura poco profonda adatta per l approdo e l ormeggio delle piccole imbarcazioni
ammiraglia;N#5537;N#97;1;1;1.00;1.08;0.41;-0.33;0.00;nave dell ammiraglio
atollo;N#17317;N#380;2;2;1.00;1.08;0.41;-0.33;0.00;grosso galleggiante
cacciatorpediniere;N#49586;N#553;2;1;1.00;1.08;0.41;-0.33;0.00;nave militare
