Shared Lemma;MarT_WM_ID;IWN_WM_ID
Punta_Campanella;NP#2596;NP#46576
puntale;N#1659;N#17248
punto;N#652;N#14266
quadrante;N#1664;N#13732
quadrato;N#1665;AG#41691
quantità;N#2723;N#9937
quota;N#2529;N#17503
racer;N#915;N#29754
rada;N#916;N#12876
radio;N#1736;N#6074
radiogoniometro;N#1739;N#28968
radionavigazione;N#472;N#2325
radiotelegrafista;N#809;N#1519
Ramsgate;NP#1233;NP#45548
randa;N#215;N#11997
rappresentazione;N#2284;N#9761
Ravenna;NP#2390;NP#46880
recapitare;V#686;V#40113
recapito;N#692;N#7489
reclamo;N#265;N#7020
regata;N#729;N#17364
relitto;N#2666;N#25874
remare;V#707;V#39323
remata;N#1769;N#20879
remeggio;N#706;N#25664
remo;N#705;N#29415
Reykjavik;NP#1234;NP#45898
ricevuta;N#266;N#10082
ricorso;N#2238;N#1602
ridosso;N#1772;N#15543
ridurre;V#1774;V#38060
rifiutare;V#1775;V#38512
rifiuto;N#1777;N#7250
Riga;NP#2481;NP#46748
rilevamento;N#1779;N#18490
rimorchiare;V#230;V#35781
rimorchiatore;N#1781;N#6166
rimorchiatore oceanico;N#549;N#49670
rinforzare;V#1783;V#32532
rinfrescare;V#1786;V#37167
rinfuse;N#1974;N#49683
rinvio;N#1787;N#6057
risacca;N#1788;N#30185
riserva_marina;N#2585;N#24117
rispetto;N#1551;N#4874
ritardo;N#523;N#7701
rivaleggiare;N#2104;V#40112
rivestitura;N#1180;N#29176
riviera;N#46;N#25028
roba;N#264;N#23889
rollare;V#1415;V#39817
rompighiaccio;N#26;N#9788
Ronne;NP#1235;NP#46273
Rostock;NP#1236;NP#47111
rotaia;N#1793;N#5238
rotta;N#217;N#1662
Rouen;NP#1237;NP#46223
roulotte;N#2617;N#533
rugiada;N#2545;N#5567
ruota;N#1794;N#11383
ruotare;V#1770;V#36536
saccoleva;N#532;N#49596
sagoma;N#524;N#23170
Sahara;NP#2627;NP#50387
Saint_Malo;NP#1238;NP#48241
Salerno;NP#2391;NP#48340
Salonicco;NP#2413;NP#46478
salpare;V#118;V#38930
salvagente;N#218;N#21244
salvamento;N#741;N#11946
salvare;V#742;V#36010
sampang;N#543;N#8955
Samsun;NP#1278;NP#48014
San_Remo;NP#1279;NP#46207
sandolino;N#544;N#2841
Santander;NP#2460;NP#46499
sartia;N#740;N#28714
sartiame;N#1711;N#27610
Savannah;NP#1247;NP#47783
Savona;NP#2397;NP#47586
sbandare;V#907;V#50860
sbandata;N#1416;N#8878
sbarcare;V#618;V#37695
sbarco;N#267;N#20105
sbattere;V#1718;V#34116
sborso;N#253;N#1664
scadere;V#1422;V#41123
scafo;N#219;N#13617
scala;N#2081;N#10475
scalandrone;N#1543;N#10628
scalmo;N#1418;N#30124
scalo;N#655;N#28788
scandagliare;V#904;V#33261
scandaglio;N#905;N#21159
scapolare;V#2669;AG#42562
scaricare;V#448;V#36095
scarrocciare;V#1419;V#38605
scarroccio;N#1420;N#5142
scartamento;N#525;N#17699
scassa;N#1423;N#6647
scazzottare;V#1842;V#40287
schema;N#2283;N#27266
scia;N#1425;N#11785
sciogliere;V#1264;V#32658
scirocco;N#996;N#4629
scoglio;N#1426;N#12887
scontrare;V#1429;V#37699
scostare;V#1427;V#38680
scotta;N#894;N#14449
scrittura;N#530;N#24102
Sebastiano_Caboto;NP#1252;NP#46136
segnalare;V#1444;V#41306
segnalazione;N#1443;N#37
segnale;N#1434;N#22956
semifinale;N#2102;N#27849
senseria;N#268;N#2708
sentina;N#899;N#16527
serbatoio;N#2200;N#31707
serrafila;N#565;N#13321
sestante;N#900;N#49620
Setubal;NP#1280;NP#45622
sferoscopio;N#967;N#49622
sicuramente;AV#2682;AV#48885
sicuro;AG#2681;AG#50721
sigla;N#2206;N#9228
silurante;N#27;N#12758
simbolo;N#1441;N#13824
situare;V#422;V#36589
situazione;N#2679;N#25030
Siviglia;NP#1281;NP#47702
skipper;N#1728;N#11337
Smirne;NP#1282;NP#46689
snodo;N#1765;N#7233
società;N#2644;N#49952
soffiare;V#2582;V#51308
solcometro;N#1729;N#1918
sommergibile;AG#567;AG#43194
sopravvento;N#313;N#9536
sottostare;V#2130;V#33833
sottufficiale;N#2140;N#18202
Southampton;NP#1283;NP#48314
Spalato;NP#2338;NP#48116
specialità;N#2187;N#3540
spedire;V#486;V#39418
spedizione;N#231;N#23913
spedizioniere;N#234;N#28134
speronare;V#1875;V#33027
sperone;N#1876;N#50189
Spezia;NP#2377;NP#45514
spiegare;V#1709;V#36752
spinnaker;N#1733;N#27439
sponda;N#1996;N#28122
squero;N#2706;N#8306
stabilità;N#1743;N#7091
stagno;AG#797;AG#50728
stanga;N#893;N#1065
star;N#71;N#3480
statuizione;N#2058;N#11406
Stavanger;NP#1285;NP#45856
stazione;N#270;N#8498
stazza;N#271;N#25122
stecca;N#1746;N#23587
Stella Polare;NP#547;NP#49728
Stettino;NP#1286;NP#48055
stiva;N#221;N#29724
stivaggio;N#423;N#49686
stivare;V#229;V#36730
Stoccolma;NP#2431;NP#46507
stopper;N#1748;N#3382
strambare;V#587;V#33737
straorzare;V#330;V#37647
strato;N#1529;N#17277
strumento nautico;N#2172;N#49618
struttura;N#2022;N#2912
studio;N#518;N#17442
stuoia;N#1754;N#26532
subcontinente;N#2639;N#15023
successione;N#2175;N#25015
sud-ovest;N#1002;N#28361
Sud_America;NP#2635;NP#45876
Sunderland;NP#1287;NP#47841
sventare;V#1708;V#39838
Swansea;NP#1288;NP#45852
Sydney;NP#1321;NP#46456
Tacoma;NP#1289;NP#48384
tagliamare;N#1693;N#22932
Tallin;NP#1290;NP#47454
Tampa;NP#1291;NP#47681
Tangeri;NP#1292;NP#48173
tangone;N#1697;N#15057
Taranto;NP#1244;NP#47018
tariffa;N#272;N#4807
Tarragona;NP#1293;NP#47941
Tavolara-Punta_Coda_Cavallo;NP#2597;NP#46781
tavoletta;N#1757;N#7985
tecnologia;N#2137;N#1907
temperatura;N#2508;N#15020
tempo;N#2278;N#14308
temporale;N#1699;AG#44012
tender;N#545;N#30143
tenersi_a_galla;V#1500;V#38151
Terneuzen;NP#1294;NP#46661
terzarolare;V#1700;V#34163
tesare;V#583;V#33110
thalac;N#538;N#49602
timoniere;N#947;N#13144
tir;N#2603;N#50179
Tirreno;NP#1962;NP#46093
tiunia;N#537;N#49601
tonneggio;N#1908;N#17828
topo;N#536;N#49600
torneo;N#2101;N#12725
Toronto;NP#2160;NP#45670
torpediniera;N#568;N#16375
Torre_Guaceto;NP#2598;NP#48404
trabaccolo;N#533;N#49597
traghettare;V#451;V#34038
traghetto;N#445;N#14855
traghetto misto;N#548;N#49668
traguardo;N#249;N#27306
trambai;N#535;N#49599
tramoggia;N#534;N#49598
tramontana;N#1003;N#20229
transito;N#276;N#1285
Trapani;NP#2395;NP#48496
trapezio;N#945;N#51431
trasbordare;V#653;V#33062
trasbordo;N#654;N#5113
trasferire;V#447;V#35713
trasportare;V#450;V#50547
trasporto;N#2237;N#50477
trave;N#1766;N#17112
traversata;N#470;N#18511
traversino;N#932;N#18153
traverso;N#1720;N#19068
Trebisonda;NP#1295;NP#46727
tribordo;N#712;N#16596
Trieste;NP#2396;NP#46692
trimarano;N#946;N#19777
trincarino;N#1761;N#30356
trireme;N#1955;N#933
tronco;N#2197;N#20785
tubo;N#2193;N#26059
tuga;N#1764;N#31060
Tunisi;NP#2261;NP#47166
tuono;N#2525;N#22902
Turku;NP#1296;NP#46938
ufficiale;N#2141;N#6817
ufficio;N#517;N#1016
umidità;N#2530;N#29639
unire;V#2641;V#33543
unità;N#520;N#50342
unità_di_misura;N#1177;N#19583
uragano;N#2095;N#31008
urbe;N#2672;N#21386
uscita;N#269;N#30603
Ustica;NP#2599;NP#47125
utensile;N#2173;N#1088
valersi;V#2021;V#33469
Vancouver;NP#1253;NP#49431
vaporetto;N#573;N#30075
varare;V#228;V#40509
varea;N#1668;N#22376
Varna;NP#1297;NP#47698
varo;N#1669;N#27976
vascello;N#569;N#25681
Vasteras;NP#1298;NP#46471
vedetta;N#2013;N#1543
vela;N#131;N#24097
velaccino;N#133;N#30914
velaccio;N#134;N#31221
velame;N#135;N#15490
veleggiare;V#148;V#33561
veleggiatore;N#72;N#4397
velico;AG#730;AG#43649
veliero;N#163;N#6410
velista;N#165;N#3012
vendere;V#939;V#36793
venduto;N#2188;N#24683
Venezia;NP#1994;NP#45912
Ventotene_e_Santo_Stefano;NP#2600;NP#46919
vernice;N#1686;N#25428
versamento;N#247;N#28092
vettore;N#278;N#29851
viaggiare;V#2684;V#50004
viaggio;N#2683;N#24029
virare;V#2618;V#51316
virata;N#1685;N#914
visibilità;N#1688;N#615
visto;N#514;N#1504
Vittorio Veneto;NP#551;NP#49673
Vlissingen;NP#1299;NP#47534
Waterford;NP#1300;NP#48453
