Literal Lemma;MariTerm ID;Total Similarity;Normalized Score;Multiple Entries in ItalWN;MariTerm Gloss
sentina;N#899;-0.33;0.00;No (1);la parte più profonda del fondo dell'imbarcazione dove si raccolgono le acque e i residui liquidi.
serrafila;N#565;-0.33;0.00;No (1);nave militare che viene per ultima in una formazione che va alla stessa velocità
sestante;N#900;-0.33;0.00;No (1);strumento a riflessione  impiegato essenzialmente per determinare il punto-nave  mediante l'osservazione dell'altezza degli atri sull'orizzonte.
skipper;N#1728;-0.33;0.00;No (1);capitano delle imbarcazioni da diporto. Nelle regate chi dirige le manovre.
snodo;N#1765;-0.33;0.00;No (1);snodatura che permette a due pezzi di muoversi con coesione
sottostare;V#2130;-0.33;0.00;No (1);essere soggetto.
specialità;N#2187;-0.33;0.00;No (1);prodotto tipico ed esclusivo
spedire;V#486;-0.33;0.00;No (1);fare che qlco. pervenga a qlcu. o in un determinato luogo.
spedizione;N#231;-0.33;0.00;No (1);atto dello spedire.
sperone;N#1876;-0.33;0.00;No (1);parte prominente della prua.
spiegare;V#1709;-0.33;0.00;No (1);distendere le vele (o una bandiera) al vento.
star;N#71;-0.33;0.00;No (1);imbarcazione a vela da regata
stivaggio;N#423;-0.33;0.00;No (1);operazione dello stivare.
strambare;V#587;-0.33;0.00;No (1);manovrare per cambiare di bordo da poppa.
stuoia;N#1754;-0.33;0.00;No (1);"spesso materiale tessuto formato da fibre di vetro o altro (kevlar  carbonio  etc.) con cui si costruiscono gli scafi in fibra.
"
successione;N#2175;-0.33;0.00;No (1);serie ordinata di cose  elementi o persone.
sventare;V#1708;-0.33;0.00;No (1);"allascare completamente una vela per sottrarla alla spinta del vento  facendola ""fileggiare"" in modo da poterla agevolmente ammainare o terzarolare  oppure per ridurre la velocità del veliero. 
"
tagliamare;N#1693;-0.33;0.00;No (1);estremità prodiera della chiglia  è la parte che fende le acque.
terzarolare;V#1700;-0.33;0.00;No (1);prendere una mano di terzaroli  cioè ridurre la superficie esposta della randa.
tesare;V#583;-0.33;0.00;No (1);tendere o recuperare una cima
thalac;N#538;-0.33;0.00;No (1);piccolo bastimento indiano.
tiunia;N#537;-0.33;0.00;No (1);battello piatto  senza chiglia  di origine cinese  usato in Malesia.
topo;N#536;-0.33;0.00;No (1);barchetta chioggiotta con la quale i pescatori trasportano il pesce ai luoghi di destinazione  a fondo piatto  con murate quasi verticali nella parte centrale e con prua slanciata.
torneo;N#2101;-0.33;0.00;No (1);
trabaccolo;N#533;-0.33;0.00;No (1);piccolo bastimento mercantile da carico  a 2 alberi verticali con vele  è in uso nell'Adriatico.
traghetto misto;N#548;-0.33;0.00;No (1);traghetto misto merci-passeggeri.
trambai;N#535;-0.33;0.00;No (1);vaporetto in sevizio in Venezia e nei dintorni. Vocabolo introdotto sul finire del XIX secolo.
tramoggia;N#534;-0.33;0.00;No (1);grossa barca in ferro con camere d'aria e con 2-4 porte nella carena.
tramontana;N#931;-0.33;0.00;No (1);vento freddo che spira da Nord  in inverno  e può investire tutta la penisola italiana.
trasbordare;V#653;-0.33;0.00;No (1);scaricare per poi reimbarcare.
traversata;N#470;-0.33;0.00;No (1);
traversino;N#932;-0.33;0.00;No (1);robusto cavetto di acciaio usato per ormeggio e tonneggio.
trincarino;N#1761;-0.33;0.00;No (1);nelle imbarcazioni classiche in legno indica una trave di rinforzo che corre longitudinalmente a sostegno della coperta.
tronco;N#2197;-0.33;0.00;No (1);fusto eretto e legnoso degli alberi e degli arbusti da cui si dipartono i rami.
unità;N#520;-0.33;0.00;No (1);elemento distinto  autonomo  non scomponibile
varea;N#1668;-0.33;0.00;No (1);"nome generico per indicare la parte terminale di qualsiasi asta orizzontale dell'alberatura.
"
varo;N#1669;-0.33;0.00;No (1);l'azione del varare una nave o altro tipo di imbarcazione.
vedetta;N#570;-0.33;0.00;No (1);nave militare piccola velocissima per la caccia ai sommergibili e la vigilanza costiera
vedetta;N#571;-0.33;0.00;No (1);marinaio o soldato che sta in un punto elevato o in una struttura appositamente costruita con scopi di sorveglianza e segnalazione.
velaccino;N#133;-0.33;0.00;No (1);vela quadrata (prima era triangolare).
veleggiatore;N#72;-0.33;0.00;No (1);imbarcazione a vela.
visibilità;N#1688;-0.33;0.00;No (1);Grado di trasparenza dell'atmosfera a livello del mare. E' misurata con una scala internazionale che va da 0 (nebbia densissima) al 9 (visibilità eccellente).
trave;N#1766;-0.60;0.00;No (1);elemento delle costruzioni costituito da un tronco d'albero squadrato o da analoghe strutture in acciaio o cemento armato.
abbattere;V#1871;-0.66;0.00;No (1);far ruotare la nave alla fonda per mettere alla vela o riprendere il cammino.
allarme;N#1882;-0.66;0.00;No (1);avviso di pericolo che può essere dato in diverse maniere: un grido  un segnale acustico (fischio  campana  etc..
altocumulo;N#2541;-0.66;0.00;No (1);nube stratificata bianca o grigiastra costituita da estese file di nubi cumuliformi ravvicinate fra loro.
alzare;V#1845;-0.66;0.00;No (1);far salire  issare vele  bandiere  oggetti  alando una cima o con un paranco.
ammainare;V#584;-0.66;0.00;No (1);far discendere una vela sospesa ad un cavo facendola scorrere
argano;N#865;-0.66;0.00;No (1);apparato girevole utilizzato per moltiplicare lo sforzo di rotazione quano si devono tirare e avvolgere le cime.
avaria;N#237;-0.66;0.00;No (1);danno che riguarda la nave o il suo carico
barchetta;N#2714;-0.66;0.00;No (1);legno appesantito  fissato a un'estremità della sagola e lasciato in mare come punto di riferimento  usato per calcolare la velocità di una imbarcazione.
bozzello;N#879;-0.66;0.00;No (1);carrucola semplice o multipla di forma e materiale differente costituita da una cassa all'interno della quale girano girano una o più pulegge (scanalate per ospitare il cavo che vi deve scorrere) e da un gancio per fissare il bozzello.
cantiere;N#717;-0.66;0.00;No (1);luogo  area in cui si trovano gli stabilimenti  impianti e macchine per la costruzione  l'allestimento e il raddobbo delle navi.
carpenteria;N#1334;-0.66;0.00;No (1);nei cantieri edili e navali è l'insieme delle strutture delle costruzioni.
catena;N#1181;-0.66;0.00;No (1);"nella marineria le catene si usano sostanzialmente per collegare l'ancora allo scafo o per ormeggiare ad una bitta. Quelle per l'ancora devono essere ""calibrate"" cioè con maglie perfettamente uguali per entrare nel barbutin dell'argano.

"
chiatta;N#381;-0.66;0.00;No (1);grosso galleggiante a fondo piatto
chiglia;N#109;-0.66;0.00;No (1);trave in uno o più pezzi che corre dalla prua alla poppa e costituisce il fondo dello scafo. E' l'elemento più importante della struttura di una imbarcazione.
cogliere;V#1351;-0.66;0.00;No (1);"raccogliere le cime ripiegandole con successive spire concentriche. Si usa soprattutto cogliere le manovre correnti (scotte  drizze  etc.) per tenerle in ordine sulla coperta.
"
collo;N#240;-0.66;0.00;No (1);bagaglio da trasportare
collo;N#480;-0.66;0.00;No (1);balla  involto di merce di grosse dimensioni  per metonimia da 'collo' (oggetto che si appoggia sul collo).
equatore;N#117;-0.66;0.00;No (1);"circolo massimo della Sfera Terreste perpendicolare all'asse di rotazione  coincide col parallelo 0°.
"
fianco;N#462;-0.66;0.00;No (1);
fiocco;N#353;-0.66;0.00;No (1);vela triangolare che si alza a pruavia dell'albero verticale di prora.
guscio;N#1539;-0.66;0.00;No (1);lo scafo nudo  cioè l'insieme dell'ossatura e della carena.
incrociare;V#1630;-0.66;0.00;No (1);"navigare in una zona con scopi di sorveglianza o ricerca.
"
issare;V#585;-0.66;0.00;No (1);sollevare un peso o tirare una corda con sospeso un oggetto pesante
lamiera;N#2072;-0.66;0.00;No (1);
lancia;N#1339;-0.66;0.00;No (1);"battello a remi o a motore utilizzato per fare la spola tra una nave o un'imbarcazione e la costa. Nel linguaggio marinaro si chiama anche ""scialuppa"".
"
manutenzione;N#1710;-0.66;0.00;No (1);insieme delle operazioni che periodicamente vanno effettuate alle diverse componenti di un' imbarcazione per conservarne il buono stato  l'affidabilità e la sicurezza in navigazione.
mollare;V#1263;-0.66;0.00;No (1);sciogliere e rilasciare una cima o una catena.
moto;N#1789;-0.66;0.00;No (1);movimento delle acque.
nautica;N#1525;-0.66;0.00;No (1);arte e tecnica della navigazione
navigatore;N#41;-0.66;0.00;No (1);uomo di mare
nembostrato;N#2542;-0.66;0.00;No (1);nube densa di colore grigio scuro  sfrangiata ai bordi e molto estesa orizzontalmente  alta circa mille metri dal suolo  che può dare origine a precipitazioni (pioggia o neve).
nolo;N#7;-0.66;0.00;No (1);contratto per il noleggio.
occhiello;N#855;-0.66;0.00;No (1);foro rinforzato posto su una vela.
olimpiade;N#2082;-0.66;0.00;No (1);manifestazione sportiva che si svolge ogni quattro anni.
ormeggio;N#201;-0.66;0.00;No (1);luogo in cui si ormeggia
