Literal Lemma;MariTerm ID;Total Similarity;Normalized Score;Multiple Entries in ItalWN;MariTerm Gloss
rimorchiatore;N#1781;1.54;0.00;No (1);nave addetta al rimorchio di altri natanti anche di dimensioni molto maggiori.
evento;N#2133;1.52;0.00;No (1);
fondo;N#188;1.45;0.00;No (1);la parte bassa
scalo;N#655;1.36;0.00;No (1);luogo in cui arrivano o da cui partono mezzi e passeggeri di aerei  navi  treni
viaggio;N#2683;1.28;0.00;No (1);trasferimento da un luogo ad un altro
sottufficiale;N#2139;1.26;0.00;No (1);militare di grado intermedio tra gli ufficiali e la truppa
dichiarazione;N#250;1.25;0.00;No (1);documento con il quale si dichiara
fenomeno_naturale;N#2505;1.17;0.00;No (1);
azimut;N#926;1.15;0.00;No (1);nella navigazione astronomica indica l'arco di cerchio compreso tra il Nord e la verticale dell'astro stesso.
campionato;N#2097;1.15;0.00;No (1);
dazio;N#246;1.15;0.00;No (1);
eliminatoria;N#2099;1.15;0.00;No (1);
ora;N#2279;1.15;0.00;No (1);tempo misurabile dall'orologio
semifinale;N#2102;1.15;0.00;No (1);
alberatura;N#581;1.15;0.00;No (1);insieme degli alberi pennoni e cordame di una imbarcazione a vela.
balla;N#591;1.15;0.00;No (1);grosso involto di merce
import;N#2182;1.15;0.00;No (1);l'insieme delle merci importate
informativa;N#2645;1.15;0.00;No (1);insieme di informazioni
poppavia;N#1583;1.15;0.00;No (1);direzione relativa verso la parte di poppa.
porto commerciale;N#91;1.15;0.00;No (1);porto dedicato al traffico commerciale e mercantile.
porto di rifornimento;N#92;1.15;0.00;No (1);punto di sosta intermedio per navi.
porto di velocità;N#93;1.15;0.00;No (1);porto destinato al movimento dei passeggeri.
porto industriale;N#94;1.15;0.00;No (1);porto al servizio di grandi complessi industriali.
porto petrolifero;N#95;1.15;0.00;No (1);porto attrezzato per la ricezione di prodotti finiti da nave cisterna.
sartiame;N#1711;1.15;0.00;No (1);"l'insieme di tutte le manovre dormienti che sostengono gli alberi: sartie  stralli  paterazzi  stralletti  etc. 
"
segnale;N#220;1.15;0.00;No (1);qualsiasi oggetto o figura che serva a contrassegnare o a indicare qualcosa
stazza;N#271;1.15;0.00;No (1);volume interno della nave indicativo della sua capacità di carico.
velame;N#135;1.15;0.00;No (1);l'insieme delle vele di una imbarcazione  complesso delle vele di un'imbarcazione
aereo;AG#2613;1.15;0.00;No (1);che concerne l'areonautica.
albero dell'antenna;N#955;1.15;0.00;No (1);parte superiore e più fine degli alberi nei grandi velieri
albero di fortuna;N#954;1.15;0.00;No (1);albero improvvisato con un fusto o palo in coperta per sostituire un albero spezzato dal vento o da una avaria.
albero di maestra;N#456;1.15;0.00;No (1);albero di maggiore dimensione che in genere sostiene una vela chiamata randa di maestra.
ammattare;V#1446;1.15;0.00;No (1);chiedere aiuto inalberando segnali sulla nave
andatura al lasco;N#785;1.15;0.00;No (1);andatura con il vento che proviene tra i 90 e i 150 gradi di angolatura rispetto alla prua.
andatura di bolina;N#791;1.15;0.00;No (1);andatura con il vento che proviene da una direzione che forma con la prua il minor angolo possibile  in genere 40-60 gradi.  
andatura in poppa;N#784;1.15;0.00;No (1);andatura con il vento che proviene da poppa o con un'approssimazione fino a 20- 30 dalla poppa stessa.
austro;N#998;1.15;0.00;No (1);punto cardinale a sud
binocolo;N#984;1.15;0.00;No (1);"visore a doppio oculare e dotato di un potere elevato di ingrandimento. I più comunemente utilizzati sono i binocoli prismatici.
"
bolina;N#102;1.15;0.00;No (1);"negli antichi velieri  venivano chiamate così le cime che servivano a tirare il più possibile verso prua il lato della vela dalla parte di entrata del vento  per navigare il più possibile vicino alla direzione del vento.
"
bordeggio;N#878;1.15;0.00;No (1);traiettoria a zig-zag che un veliero deve seguire per risalire il vento. Un buon bordeggio permette di fare un cammino più breve o di coprire una distanza con maggior velocità.
bovo;N#1938;1.15;0.00;No (1);piccolo veliero mercantile. 
bussola da rilevamento;N#293;1.15;0.00;No (1);"Particolare tipo di bussola magnetica  per ""rilevare"" cioè per stabilire la direzione di un qualsiasi oggetto rispetto al nord magnetico."
bussola di rotta;N#294;1.15;0.00;No (1);Bussola principale dell'imbarcazione  normalmente posta davanti al timone.
bussola giroscopica;N#291;1.15;0.00;No (1);Bussola che funziona indipendentemente dall'azione del magnetismo terrestre e che si basa sul principio del giroscopio.
bussola magnetica;N#292;1.15;0.00;No (1);Bussola che sfrutta l'effetto del magnetismo terrestre  composta da uno o più aghi magnetici  liberi di ruotare  che si orientano verso il Nord magnetico disponendosi parallelamente ai meridiani magnetici.
calumare;V#679;1.15;0.00;No (1);calare le funi in mare
campana;N#1065;1.15;0.00;No (1);"strumento che si usa a bordo per segnalazioni (es. in caso di nebbia) o per segnalare allarmi. 
"
caravella;N#364;1.15;0.00;No (1);veliero leggero e veloce  usato soprattutto da Portoghesi e Spagnoli nei secoli XV e XVI  per la guerra e per il traffico.
carroponte;N#776;1.15;0.00;No (1);gru per sollevare e trasportare grandi carichi
cirro;N#1087;1.15;0.00;No (1);"Nuvola d'alta quota che si presenta a forma di filamento  bianca e senza ombre. Può essere isolato o presentarsi in grandi insiemi compatti  in tal caso portano maltempo. 
"
cirrocumulo;N#2539;1.15;0.00;No (1);nube stratificata e densa composta di piccoli fiocchi biancastri disposti in file o in gruppi che formano il cosiddetto cielo a pecorelle. 
cirrostrato;N#2540;1.15;0.00;No (1);nube biancastra sottile e trasparente  costituita da cristalli di ghiaccio. la presenza di queste nubi possono annunciare l'arrivo di un periodo caldo o di una tempesta.
collettame;N#2184;1.15;0.00;No (1);merce varia trasportata da un unico mezzo  per conto di più clienti
continentale;AG#2636;1.15;0.00;No (1);del continente (clima)
dazio;N#245;1.15;0.00;No (1);
dogana;N#252;1.15;0.00;No (1);
export;N#254;1.15;0.00;No (1);l'esportare.
esportazione;N#2186;1.15;0.00;No (1);l'insieme delle cose esportate.
fischio;N#1480;1.15;0.00;No (1);congegno sonoro di segnalazione usato sulle navi per indicare variazioni di andatura o di rotta.
grandine;N#2535;1.15;0.00;No (1);precipitazione atmosferica di acqua gelata in piccole masse di dimensioni variabili causata dall'improvviso raffreddamento del vapore acqueo.
imbuto;N#1601;1.15;0.00;No (1);"attrezzo a forma tronco-conica  di plastica o tela  talvolta utilizzato nelle imbarcazioni a vela per raccogliere lo spinnaker.
"
intercontinentale;AG#2637;1.15;0.00;No (1);Che riguarda  che mette in comunicazione e sim. più continenti.
maretta;N#748;1.15;0.00;No (1);stato del mare caratterizzato da onde corte e confuse.
navale;AG#10;1.15;0.00;No (1);relativo alle navi
nave a carroponte;N#13;1.15;0.00;No (1);dispone di propri mezzi di sollevamento  scorrevoli su rotaie da poppa a prua per servire tutte le stive della nave ed in grado di operare sui due lati della nave.
nave autosbarcante;N#14;1.15;0.00;No (1);nave di modeste dimensioni destinata al trasporto di granaglie  carbone e minerali. Dotata di tramogge è in grado di scaricare il materiale su nastri convogliatori a terra.
nave frigo;N#18;1.15;0.00;No (1);nave con locali frigoriferi per la conservazione della merce.
nave per carico secco;N#22;1.15;0.00;No (1);nave da carico.
navigazione astronomica;N#473;1.15;0.00;No (1);insieme dei metodi e degli strumenti per determinare la posizione geografica mediante l'osservazione degli astri e la misurazione delle loro coordinate.
cabotaggio;N#208;1.15;0.00;No (1);navigazione lungo le coste di porto in porto generalmente a scopo commerciale.
navigazione d'altura;N#206;1.15;0.00;No (1);navigazione in altomare.
navigazione mista;N#207;1.15;0.00;No (1);navigazione praticata un tempo a vela e a vapore.
navigazione piana;N#474;1.15;0.00;No (1);"insieme dei metodi e degli espedienti per risolvere i problemi della ""navigazione costiera"" e della ""navigazione stimata"" sulla carta nautica con l'ausilio della Geometria Piana."
navigazione stimata;N#475;1.15;0.00;No (1);procedimento per calcolare e determinare la posizione geografica attuale in dipendenza dell'ultima posizione certa.
navigazione strumentale;N#476;1.15;0.00;No (1);la navigazione che si avvale dell'ausilio di vari strumenti.
nembo;N#1528;1.15;0.00;No (1);nube bassa  oscura  portatrice di pioggia
neve;N#2496;1.15;0.00;No (1);precipitazione atmosferica costituita da piccole particelle di ghiaccio originate dal forte raffreddamento del vapore acqueo delle nubi  che scendono lentamente al suolo spec. aggregate in fiocchi bianchi.
nord-est;N#999;1.15;0.00;No (1);punto cardinale intermedio.
nostromo;N#810;1.15;0.00;No (1);"sottufficiale addetto ai servizi marinareschi e di bordo | sottufficiale della categoria dei nocchieri.
"
occaso;N#1000;1.15;0.00;No (1);punto cardinale
oceano;N#2014;1.15;0.00;No (1);
oriente;N#1001;1.15;0.00;No (1);punto cardinale
passascotte;N#1542;1.15;0.00;No (1);
penna;N#1548;1.15;0.00;No (1);"angolo superiore delle vele latine  dei fiocchi e delle vele di strallo  al quale si collega la ""drizza"" per issare e tesare la vela."
pescatore;N#2031;1.15;0.00;No (1);utensile per il recupero degli attrezzi di sondaggio in caso di incidenti.
pesce_angelo;N#2035;1.15;0.00;No (1);
pesce_volante;N#2036;1.15;0.00;No (1);pesce che spicca salti fuori dell'acqua
pescecane;N#2037;1.15;0.00;No (1);nome di vari pesci di alcuni ordini dei Selaci  dal comportamento aggrssivo e pericoloso.
pioggia;N#2506;1.15;0.00;No (1);precipitazione atmosferica di gocce d’acqua  che ha origine dalla condensazione del vapore acqueo contenuto nell’atmosfera
radionavigazione;N#472;1.15;0.00;No (1);navigazione assistita via radio sia aerea che marittima
recapito;N#685;1.15;0.00;No (1);consegna di un oggetto.
rinfuse;N#1974;1.15;0.00;No (1);
rotaia;N#1793;1.15;0.00;No (1);profilo metallico che serve come guida di scorrimento per un bozzello  un carrello  una manovra  ecc.
sartia;N#740;1.15;0.00;No (1);ciascuno dei cavi d'acciaio che sostengono lateralmente gli alberi.
sborso;N#253;1.15;0.00;No (1);lo sborsare.
scirocco;N#996;1.15;0.00;No (1);punto cardinale intermedio.
serrafila;N#564;1.15;0.00;No (1);sottufficiale o graduato che marcia in coda ad un reparto  persona che chiude una fila
buffo;N#2583;1.15;0.00;No (1);vento leggero che soffia a tratti
stivare;V#229;1.15;0.00;No (1);sistemare il carico a bordo di una nave o di una imbarcazione.
subcontinente;N#2639;1.15;0.00;No (1);parte di un continente con caratteristiche peculiari
sud-ovest;N#1002;1.15;0.00;No (1);punto cardinale intermedio.
tramontana;N#1003;1.15;0.00;No (1);punto cardinale indicato dalla Stella Polare
trasporto;N#2237;1.15;0.00;No (1);ogni attività che ha per scopo il trasferimento di persone o cose da un luogo all'altro.
tuono;N#2525;1.15;0.00;No (1);fenomeno acustico causato dall'onda d'urto prodotta dalla violenta espansione dell'aria in prossimità dei fulmini.
velico;AG#162;1.15;0.00;No (1);della vela  delle vele.
venduto;N#2188;1.15;0.00;No (1);la merce venduta
visto;N#279;1.15;0.00;No (1);formula scritta con cui un'amministrazione attesta di aver controllato un documento
visto;N#514;1.15;0.00;No (1);autorizzazione con cui uno stato straniero rende effettiva la validità di un passaporto
antenna;N#969;1.15;0.00;No (1);strumento di foggia diversa  asta  parabola o sistema composto  usato per ricevere o per diffondere onde radio.
boma;N#103;1.15;0.00;No (1);asta imperniata sull'albero di poppa  usata per mantenere tesa la vela di randa.
canottaggio;N#1971;1.15;0.00;No (1);sport nautico su imbarcazioni a remi. Lo sport moderno del c. ebbe origine in Inghilterra nel 1715.
crociera;N#1862;1.15;0.00;No (1);viaggio di piacere compiuto su una nave  seguendo un tragitto e un programma fissato in precedenza.
fattura;N#255;1.15;0.00;No (1);documento che prova una vendita
franchigia;N#256;1.15;0.00;No (1);documento che attesta una franchigia
furgone;N#2616;1.15;0.00;No (1);veicolo
navetta_spaziale;N#33;1.15;0.00;No (1);navetta spaziale
pennone;N#881;1.15;0.00;No (1);asta sospesa orizzontalmente all'albero che sostiene e mantiene distesa una vela quadra. Ogni vela ha il bordo superiore e quello inferiore fissati a due pennoni che prendono il nome  dalla rispettiva vela.
pesistica;N#2044;1.15;0.00;No (1);
picco;N#1552;1.15;0.00;No (1);asta simile ad un mezzo pennone al quale si fissa il lato superiore di una randa aurica.
roulotte;N#2617;1.15;0.00;No (1);veicolo attrezzato ad abitazione
sottufficiale;N#2140;1.15;0.00;No (1);grado intermedio della gerarchia militare
tangone;N#1697;1.15;0.00;No (1);lunga asta  in lega leggera o in fibre composite  che serve per mantenere esterno dalla coperta il punto di mura dello spinnaker e di altre vele di prua non inferite.
tir;N#2603;1.15;0.00;No (1);convenzione che regola il trasporto di merci su strada.
ufficiale;N#2141;1.15;0.00;No (1);grado di certi ordini della cavalleria
vela;N#130;1.15;0.00;No (1);sport
grado_centesimale;N#1893;1.15;0.00;No (1);unità di misura degli angoli corrispondente alla centesima parte di un angolo retto.
millibar;N#1259;1.15;0.00;No (1);unità di misura della pressione atmosferica. Un millibar equivale a 0 76 mm della colonna di mercurio. 
formula;N#515;1.09;0.00;No (1);insieme di parole stabilite dall'uso o dalla norma ecc.
convenzione;N#2602;1.09;0.00;No (1);patto  trattato tra stati
incidente;N#2131;1.09;0.00;No (1);fatto inatteso  spec. negativo che viene a turbare lo svolgimento di un'attività o il normale corso degli eventi  disgrazia  sciagura.
messaggio;N#1445;1.09;0.00;No (1);la cosa comunicata.
partecipazione;N#1447;1.09;0.00;No (1);l'atto di comunicare  partecipare  l'atto del comunicare.
pirata;N#1309;1.09;0.00;No (1);chi corre il mare per depredare navi
potenza;N#2051;1.09;0.00;No (1);capacità di un sistema di sviluppare lavoro  grandezza fisica
segnalare;V#1444;1.09;0.00;No (1);indicare per mezzo di segnali.
simbolo;N#1441;1.09;0.00;No (1);segno che acquisisce un valore all'interno di un sistema convenzionale
trasportare;V#450;1.09;0.00;No (1);
portare;V#1661;1.07;0.00;No (1);"dicesi delle vele quando ricevono il vento sulla superficie rivolta verso poppa e sono ben regolate  cioè senza pieghe e piene di vento.
"
cadenza;N#2281;1.05;0.00;No (1);il tempo musicale  successione regolare di unità metriche uniformii
temperatura;N#2508;1.05;0.00;No (1);
cucire;V#753;1.03;0.00;No (1);
stanga;N#893;1.00;0.00;No (1);barra di materiale vario.
motoscafo;N#539;0.95;0.00;No (1);imbarcazione spinta da motore a scoppio.
alta marea;N#744;0.84;0.00;No (1);punto massimo della marea crescente. 
bassa marea;N#745;0.84;0.00;No (1);punto minimo della marea calante.
barografo;N#978;0.83;0.00;No (1);strumento che  collegato a un barometro  riporta su un rotolo di carta i valori della pressione atmosferica nel tempo  sotto forma di diagramma. Anch'esso può essere sia meccanico che elettronico.
parete;N#796;0.82;0.00;No (1);
regata;N#729;0.82;0.00;No (1);gara di velocità tra imbarcazioni di vario tipo
armamento;N#78;0.82;0.00;No (1);il complesso dei materiali e degli uomini occorrenti a mettere una nave in condizioni di navigare.
comandante;N#107;0.82;0.00;No (1);ufficiale di qualsiasi grado che ha il comando di una nave  nella marina civile  è colui che ha la responsabilità giuridica della nave. 
navigatore;N#42;0.82;0.00;No (1);l'ufficiale che indica la rotta da seguire sulle navi e sugli aerei
anemoscopio;N#2549;0.82;0.00;No (1);strumento per misurare la direzione del vento.
baglio;N#927;0.82;0.00;No (1);trave che collega orizzontalmente le fiancate dell'imbarcazione  per tutta la sua lunghezza e sostenendo il peso della coperta (o ponte).
canapo;N#649;0.82;0.00;No (1);grossa fune di canapa.
contenitore;N#603;0.82;0.00;No (1);oggetto che serve a contenerne altri  spec. per agevolarne il trasporto.
cutter;N#370;0.82;0.00;No (1);piccolo veliero originario dell'Inghilterra.
drizza;N#1405;0.82;0.00;No (1);"Cima o cavo d'acciaio utilizzato per alzare (drizzare) al loro posto vele  bandiere
o altri sistemi di coperta. 
"
marra;N#669;0.82;0.00;No (1);uno dei (di solito) due bracci curvi dell'ancora. 
nave Roll on-Roll off;N#25;0.82;0.00;No (1);nave per la movimentazione di materiale rotabile  con una apertura a poppa e munita di più rampe di accesso al ponte superiore
orza;N#847;0.82;0.00;No (1);lato dell'imbarcazione dal quale viene il vento  lato sopravvento.
racer;N#915;0.82;0.00;No (1);termine inglese che designa una imbarcazione da competizione  sia a vela che a motore.
rugiada;N#2545;0.82;0.00;No (1);precipitazione atmosferica formata da minuscole gocce d'acqua in seguito alla condensazione del vapore acqueo dell'aria a contatto con superfici che presentano temperature superiori a 0° C.
società;N#2644;0.82;0.00;No (1);azienda  una ditta  complesso industriale o commerciale.  la ditta come insieme delle persone che la costituiscono
contratto;N#244;0.82;0.00;No (1);documento frutto di un accordo tra parti
fasciame;N#1346;0.82;0.00;No (1);tavole in legno o lamiere metalliche che ricoprono l'ossatura e formano la superficie esterna dello scafo.
gomena;N#1519;0.82;0.00;No (1);Grossa cima di tessile ritorto  utilizzata nelle navi per gli ormeggi. 
squero;N#2706;0.80;0.00;No (1);piccolo cantiere in cui un tempo la gondola veniva costruita e ricoverata in rimessaggio.
umidità;N#2530;0.78;0.00;No (1);presenza di acqua o di vapore acqueo nell'atmosfera.
diramazione;N#259;0.76;0.00;No (1);
gru;N#775;0.76;0.00;No (1);macchina per sollevare e spostare carichi.
liquidazione;N#527;0.76;0.00;No (1);il pagamento di somme dovute  atto del pagare.
mattone;N#2119;0.76;0.00;No (1);
morire;V#2709;0.76;0.00;No (1);cessare di esistere
passerella;N#1545;0.76;0.00;No (1);tavola di legno o metallica utilizzata per collegare un natante ad una banchina o ad un secondo galleggiante.
proprietà;N#2138;0.76;0.00;No (1);qualità particolare  virtù propria di alcune cose.
salvagente;N#218;0.74;0.00;No (1);giubbotto contenente materiale galleggiante da indossare in navigazione.
versamento;N#247;0.74;0.00;No (1);l'oggetto o i valori depositati.
periplo;N#2685;0.74;0.00;No (1);circumnavigazione
impiombare;V#2640;0.70;0.00;No (1);"unire due cavi intrecciandoli alle estremità per i legnoli.
"
bilancella;N#1922;0.67;0.00;No (1);piccola imbarcazione da pesca  usata soprattutto in Sicilia e attrezzata con un albero a vela latina e un fiocco. 
burchiello;N#1923;0.67;0.00;No (1);piccola barca a fondo piatto pwer trasporti fluviali  lagunari o lacustri.
canoa;N#360;0.67;0.00;No (1);barca degli Indiani dell’America centrale  scavata in un tronco d’albero  con poppa e prua uguali.
gozzo;N#374;0.67;0.00;No (1);barca con la quale i pescatori di tonni fanno la guardia sopra il bordonaro  per osservare quando vengono i tonni.
segnalazione;N#1442;0.65;0.00;No (1);ogni comunicazione di notizie  effettuata con qualsiasi mezzo
viaggiare;V#2684;0.65;0.00;No (1);spostarsi da un luogo all'altro per lavoro  turismo  o altro.
esportatore;N#493;0.62;0.00;No (1);Chi esporta merci all'estero.
radiotelegrafista;N#809;0.62;0.00;No (1);
vettore;N#278;0.62;0.00;No (1);chi esegue il trasporto di merci o persone per conto di terzi
silurante;N#27;0.60;0.00;No (1);
torpediniera;N#568;0.60;0.00;No (1);nave militare
pagaia;N#1538;0.57;0.00;No (1);remo con le due estremità a pala  che si maneggia tenendolo al centro con entrambe le mani. Si usa sulle canoe e su altri natanti di tipo fluviale o balneare.
prueggiare;V#663;0.55;0.00;No (1);navigare di prua
codice morse;N#309;0.55;0.00;No (1);codice telegrafico usato internazionalmente  inventato da S. Morse.
capitano;N#507;0.49;0.00;No (1);comandante di una nave della Marina mercantile.
codice;N#239;0.49;0.00;No (1);gruppo di numeri o di numeri e lettere che serve a identificare ogni singola entità d'un dato sistema.
scotta;N#894;0.49;0.00;No (1);cima utilizzata per bordare e regolare le vele (cazzare e lascare). Questa cima è fissata all'angolo di scotta che è libero di orientarsi secondo il vento.
assicurazione;N#235;0.49;0.00;No (1);documento assicurativo
miglio;N#1176;0.49;0.00;No (1);unità di misura di lunghezza
accostata;N#575;0.49;0.00;No (1);spostamento della prua per effetto del timone
tonneggio;N#1908;0.49;0.00;No (1);manovra con cui si sposta una nave da un punto d'ormeggio ad un altro.
virata;N#1685;0.49;0.00;No (1);azione del virare.
navigare;V#38;0.48;0.00;No (1);effettuare un percorso  un viaggio per mare  su un corso o uno specchio d'acqua  es.: una nave che naviga per il Mediterraneo  navigare sul Nilo 
aliscafo;N#63;0.47;0.00;No (1);imbarcazione a motore che naviga planando su alip oste ai lati dello scafo raggiungendo altissime velocità.
baleniera;N#67;0.47;0.00;No (1);imbarcazione a remi usata un tempo da comandanti e ammiragli
fasello;N#169;0.47;0.00;No (1);antica imbarcazione veloce
idroplano;N#172;0.47;0.00;No (1);natante a sostentazione idroplana
idroscivolante;N#173;0.47;0.00;No (1);imbarcazione propulsa con elica aerea
iole;N#174;0.47;0.00;No (1);piccola imbarcazione a remi o a vela per uso costiero.
patino;N#540;0.47;0.00;No (1);imbarcazione da diporto  a remi o pedali
pilotina;N#541;0.47;0.00;No (1);
piroga;N#542;0.47;0.00;No (1);
sampang;N#543;0.47;0.00;No (1);imbarcazione a remi  usata su fiumi e acque costiere nell'Estremo Oriente.
sandolino;N#544;0.47;0.00;No (1);
tender;N#545;0.47;0.00;No (1);imbarcazione di servizio utilizzato per scendere a terra da imbarcazioni più grandi.
scalandrone;N#1543;0.45;0.00;No (1);passerella mobile tra nave e banchina
baleniera;N#66;0.45;0.00;No (1);nave attrezzata per la caccia alla balena
bireme;N#1934;0.45;0.00;No (1);nave antica a due ordini di remi.
nave bacino;N#15;0.45;0.00;No (1);nave bacino semisommergibile.
nave da crociera;N#17;0.45;0.00;No (1);bastimento che naviga a scopo turistico o escursionistico 
rompighiaccio;N#26;0.45;0.00;No (1);nave attrezzata per aprirsi la strada nei mari polari  rompendo la crosta di ghiaccio che li copre.
navicella;N#34;0.45;0.00;No (1);piccola nave.
continente;N#2624;0.43;0.00;No (1);Ciascuna delle grandi superfici emerse della crosta terrestre
cala;N#197;0.41;0.00;No (1);locale di una nave  nella parte più bassa della stiva.
cucina;N#1370;0.41;0.00;No (1);locale dell'imbarcazione dove si conservano e si cucinano gli alimenti. 
magazzino;N#262;0.41;0.00;No (1);locale per il deposito e la conservazione di merce
stiva;N#221;0.41;0.00;No (1);nelle navi è lo spazio destinato al carico delle merci.
colonna;N#641;0.41;0.00;No (1);si dice di varie cose verticali di forma allungata.
omaggio;N#2129;0.41;0.00;No (1);la cosa donata.
appontare;V#329;0.40;0.00;No (1);compiere la manovra di appontaggio
straorzare;V#330;0.40;0.00;No (1);condurre la prua della nave oltre l'orza
gabbia;N#666;0.39;0.00;No (1);tipo di vela
parrocchetto;N#667;0.39;0.00;No (1);vela dell'albero di trinchetto
spinnaker;N#1733;0.39;0.00;No (1);"vela di prua di grande superficie e di tessuto leggero  viene usata con venti ""portanti""  dal ""traverso"" fino al ""fil di ruota""  la progenitrice di questa vela fu alzata per la prima volta su uno yacht britannico nel 1865."
velaccio;N#134;0.39;0.00;No (1);vela quadra
circolo Amici-Magnaghi;N#966;0.38;0.00;No (1);strumento a riflessione  impiegato ancora oggi per misurare gli angoli azimutali sottocosta.
ottante;N#2174;0.38;0.00;No (1);costruito e firmato da Joseph William Duff (sec. XVIII). Precursore del sestante  anche l'ottante serviva per determinare l'altezza degli astri sull'orizzonte.
sferoscopio;N#967;0.38;0.00;No (1);consente la lettura delle coordinate altazimutali corrispondenti a quelle locali orarie o equatoriali e - viceversa - di un astro assegnato
consegnare;V#684;0.37;0.00;No (1);dare a un destinatario.
ABS;N#1905;0.37;0.00;No (1);materiale termoplastico utilizzato nella costruzione di scafi inferiori ai 5 metri.
baricentro;N#979;0.33;0.00;No (1);in un corpo o sistema di corpi  punto di applicazione della forza di gravitazione. 
bordo;N#83;0.33;0.00;No (1);altezza del fianco della nave emergente
navalmeccanica;N#11;0.33;0.00;No (1);
segnalazione;N#1443;0.33;0.00;No (1);messaggio  comunicazione
informazione;N#2398;0.32;0.00;No (1);elemento o dato che permette di venire a conoscenza di qcs.  notizia: chiedere un'informazione a qcn.  dare  fornire informazioni riservate  scambio di informazioni  trovare una buona fonte di informazioni  informazioni per l'utente  per i passeggeri.
buttafuori;N#892;0.29;0.00;No (1);genericamente qualunque asta che tenga spinto verso l'esterno dello scafo un qualsiasi oggetto  tipicamente una vela o una scotta.
spedizioniere;N#234;0.29;0.00;No (1);
timoniere;N#947;0.29;0.00;No (1);persona addetta alla manovra della barra o della ruota del timone.
costeggiare;V#662;0.22;0.00;No (1);navigare senza allontanarsi dalla costa.
barometro;N#977;0.22;0.00;No (1);strumento meccanico o elettronico per la misura della pressione atmosferica.
nave;N#6;0.20;0.00;No (1);"imbarcazione di una certa grandezza che  fornita di adeguati mezzi di propulsione  è adibita al trasporto di persone e merci o che  opportunamente attrezzata e armata  è impiegata in attività belliche.
"
naufragio;N#1523;0.19;0.00;No (1);incidente marittimo per cui una nave affonda o va distrutta
classe;N#299;0.16;0.00;No (1);gruppo di imbarcazioni che possiedono le stesse caratteristiche.
armare;V#703;0.16;0.00;No (1);mettere una qualunque attrezzatura  della nave e/o imbarcazione in condizione di svolgere la propria funzione.
ponte;N#384;0.16;0.00;No (1);"ognuno di piani orizzontali che dividono l'interno delle navi nel senso dell'altezza  nelle imbarcazioni da diporto spesso il termine ponte coincide con ""coperta""."
tecnologia;N#2137;0.16;0.00;No (1);attività volta a creare congegni e macchinari
situare;V#422;0.16;0.00;No (1);porre  collocare una persona o una cosa in un determinato luogo.
vela;N#131;0.16;0.00;No (1);ciascuno dei teli disposti verticalmente a bordo dei velieri in modo da ricevere la pressione del vento per utilizzarla come forza motrice.
trimarano;N#946;0.14;0.00;No (1);imbarcazione a vela formata da uno scafo centrale e due laterali più piccoli  paralleli e simmetrici  uniti con traverse metalliche o in vetroresina  allo scafo centrale.
condizione;N#2148;0.14;0.00;No (1);modo di essere
bastimento;N#2347;0.12;0.00;No (1);nave per passeggeri o da carico di grandi dimensioni.
betta;N#1933;0.12;0.00;No (1);piccola nave sussidiaria della Marina militare.
goletta;N#1517;0.12;0.00;No (1);Veliero a due alberi (di trinchetta e di maestra) con vele auriche e bompresso.
piroscafo;N#2348;0.12;0.00;No (1);nave mercantile a vapore  usata spec. in passato per il trasporto di merci e passeggeri.
trireme;N#1955;0.12;0.00;No (1);antica nave da guerra greca e fenicia.
vaporetto;N#573;0.12;0.00;No (1);piccola nave a vapore o a motore. 
vascello;N#569;0.12;0.00;No (1);grande nave da guerra a tre ponti  tre alberi altissimi  pezzi di artiglieria e moltissime vele  in uso fino alla metà del XIX secolo.
imposizione;N#273;0.10;0.00;No (1);le tasse  versamento di denaro dovuto dai cittadini allo stato
isola;N#2690;0.09;0.00;No (1);
cabina;N#1059;0.08;0.00;No (1);"piccola camera di un'imbarcazione  dotata di letti o cuccette.
"
trasferire;V#447;0.08;0.00;No (1);
abbisciare;V#176;0.06;0.00;No (1);"avvolgere un cavo od una catena  ad ampie spire  in modo che possano svolgersi liberamente e scorrere senza impedimenti. 
"
abbandonare;V#722;0.00;0.00;No (1);l'atto di lasciare la nave in pericolo da parte del capitano e dell'equipaggio.
abbeverare;V#2691;0.00;0.00;No (1);colmare d'acqua un'imbarcazione tirata in secco per far gonfiare il legname della chiglia cosicché collimi.
abbonacciare;V#1818;0.00;0.00;No (1);il calmarsi del mare e del vento.
abbrumare;V#2694;0.00;0.00;No (1);detto della carena lignea delle navi  corrodersi a causa di piante e molluschi marini che vi atteschiscono.
abbuono;N#731;0.00;0.00;No (1);compenso di tempo concesso a barche a vela di caratteristiche  e dimensioni diverse che corrono in una stessa regata per permettere loro di correre in una condizione di parità.
Abenra;NP#948;0.00;0.00;No (1);
Aberdeen;NP#949;0.00;0.00;No (1);
Aden;NP#950;0.00;0.00;No (1);
aereo;AG#2612;0.00;0.00;No (1);pieno d'aria.
affiorare;V#1820;0.00;0.00;No (1);l'apparire in superficie di un qualsiasi oggetto immerso nell'acqua.
affondamento;N#2580;0.00;0.00;No (1);l'affondare e il suo risultato.
Africa;NP#2628;0.00;0.00;No (1);
Agadir;NP#1013;0.00;0.00;No (1);
al traverso;AV#1721;0.00;0.00;No (1);col vento che proviene da una direzione perpendicolare (o approssimatamente tale) alla chiglia dell'imbarcazione.
