Shared Lemma;IWN_WM_ID;MarT_WM_ID
puleggia;N#11843;N#1658
Punta_Campanella;NP#46576;NP#2596
puntale;N#17248;N#1659
punto;N#14266;N#652
quadrante;N#13732;N#1664
quadrato;AG#41691;N#1665
quantità;N#9937;N#2723
quota;N#17503;N#2529
racer;N#29754;N#915
rada;N#12876;N#916
radio;N#6074;N#1736
radiogoniometro;N#28968;N#1739
radionavigazione;N#2325;N#472
radiotelegrafista;N#1519;N#809
Ramsgate;NP#45548;NP#1233
randa;N#11997;N#215
rappresentazione;N#9761;N#2284
Ravenna;NP#46880;NP#2390
recapitare;V#40113;V#686
recapito;N#7489;N#692
reclamo;N#7020;N#265
regata;N#17364;N#729
relitto;N#25874;N#2666
remare;V#39323;V#707
remata;N#20879;N#1769
remeggio;N#25664;N#706
remo;N#29415;N#705
Reykjavik;NP#45898;NP#1234
ricevuta;N#10082;N#266
ricorso;N#1602;N#2238
ridosso;N#15543;N#1772
ridurre;V#38060;V#1774
rifiutare;V#38512;V#1775
rifiuto;N#7250;N#1777
Riga;NP#46748;NP#2481
rilevamento;N#18490;N#1779
rimorchiare;V#35781;V#230
rimorchiatore;N#6166;N#1781
rimorchiatore oceanico;N#49670;N#549
rinforzare;V#32532;V#1783
rinfrescare;V#37167;V#1786
rinfuse;N#49683;N#1974
rinvio;N#6057;N#1787
risacca;N#30185;N#1788
riserva_marina;N#24117;N#2585
rispetto;N#4874;N#1551
ritardo;N#7701;N#523
rivaleggiare;V#40112;N#2104
rivestitura;N#29176;N#1180
riviera;N#25028;N#46
roba;N#23889;N#264
rollare;V#39817;V#1415
rompighiaccio;N#9788;N#26
Ronne;NP#46273;NP#1235
Rostock;NP#47111;NP#1236
rotaia;N#5238;N#1793
rotta;N#1662;N#217
Rouen;NP#46223;NP#1237
roulotte;N#533;N#2617
rugiada;N#5567;N#2545
ruota;N#11383;N#1794
ruotare;V#36536;V#1770
saccoleva;N#49596;N#532
sagoma;N#23170;N#524
Sahara;NP#50387;NP#2627
Saint_Malo;NP#48241;NP#1238
Salerno;NP#48340;NP#2391
Salonicco;NP#46478;NP#2413
salpare;V#38930;V#118
salvagente;N#21244;N#218
salvamento;N#11946;N#741
salvare;V#36010;V#742
sampang;N#8955;N#543
Samsun;NP#48014;NP#1278
San_Remo;NP#46207;NP#1279
sandolino;N#2841;N#544
Santander;NP#46499;NP#2460
sartia;N#28714;N#740
sartiame;N#27610;N#1711
Savannah;NP#47783;NP#1247
Savona;NP#47586;NP#2397
sbandare;V#50860;V#907
sbandata;N#8878;N#1416
sbarcare;V#37695;V#618
sbarco;N#20105;N#267
sbattere;V#34116;V#1718
sborso;N#1664;N#253
scadere;V#41123;V#1422
scafo;N#13617;N#219
scala;N#10475;N#2081
scalandrone;N#10628;N#1543
scalmo;N#30124;N#1418
scalo;N#28788;N#655
scandagliare;V#33261;V#904
scandaglio;N#21159;N#905
scapolare;AG#42562;V#2669
scaricare;V#36095;V#448
scarrocciare;V#38605;V#1419
scarroccio;N#5142;N#1420
scartamento;N#17699;N#525
scassa;N#6647;N#1423
scazzottare;V#40287;V#1842
schema;N#27266;N#2283
scia;N#11785;N#1425
sciogliere;V#32658;V#1264
scirocco;N#4629;N#996
scoglio;N#12887;N#1426
scontrare;V#37699;V#1429
scostare;V#38680;V#1427
scotta;N#14449;N#894
scrittura;N#24102;N#530
Sebastiano_Caboto;NP#46136;NP#1252
segnalare;V#41306;V#1444
segnalazione;N#37;N#1443
segnale;N#22956;N#1434
semifinale;N#27849;N#2102
senseria;N#2708;N#268
sentina;N#16527;N#899
serbatoio;N#31707;N#2200
serrafila;N#13321;N#565
sestante;N#49620;N#900
Setubal;NP#45622;NP#1280
sferoscopio;N#49622;N#967
sicuramente;AV#48885;AV#2682
sicuro;AG#50721;AG#2681
sigla;N#9228;N#2206
silurante;N#12758;N#27
simbolo;N#13824;N#1441
situare;V#36589;V#422
situazione;N#25030;N#2679
Siviglia;NP#47702;NP#1281
skipper;N#11337;N#1728
Smirne;NP#46689;NP#1282
snodo;N#7233;N#1765
società;N#49952;N#2644
soffiare;V#51308;V#2582
solcometro;N#1918;N#1729
sommergibile;AG#43194;AG#567
sopravvento;N#9536;N#313
sottostare;V#33833;V#2130
sottufficiale;N#18202;N#2140
Southampton;NP#48314;NP#1283
Spalato;NP#48116;NP#2338
specialità;N#3540;N#2187
spedire;V#39418;V#486
spedizione;N#23913;N#231
spedizioniere;N#28134;N#234
speronare;V#33027;V#1875
sperone;N#50189;N#1876
Spezia;NP#45514;NP#2377
spiegare;V#36752;V#1709
spinnaker;N#27439;N#1733
sponda;N#28122;N#1996
squero;N#8306;N#2706
stabilità;N#7091;N#1743
stagno;AG#50728;AG#797
stanga;N#1065;N#893
star;N#3480;N#71
statuizione;N#11406;N#2058
Stavanger;NP#45856;NP#1285
stazione;N#8498;N#270
stazza;N#25122;N#271
stecca;N#23587;N#1746
Stella Polare;NP#49728;NP#547
Stettino;NP#48055;NP#1286
stiva;N#29724;N#221
stivaggio;N#49686;N#423
stivare;V#36730;V#229
Stoccolma;NP#46507;NP#2431
stopper;N#3382;N#1748
strambare;V#33737;V#587
straorzare;V#37647;V#330
strato;N#17277;N#1529
strumento nautico;N#49618;N#2172
struttura;N#2912;N#2022
studio;N#17442;N#518
stuoia;N#26532;N#1754
subcontinente;N#15023;N#2639
successione;N#25015;N#2175
sud-ovest;N#28361;N#1002
Sud_America;NP#45876;NP#2635
Sunderland;NP#47841;NP#1287
sventare;V#39838;V#1708
Swansea;NP#45852;NP#1288
Sydney;NP#46456;NP#1321
Tacoma;NP#48384;NP#1289
tagliamare;N#22932;N#1693
Tallin;NP#47454;NP#1290
Tampa;NP#47681;NP#1291
Tangeri;NP#48173;NP#1292
tangone;N#15057;N#1697
Taranto;NP#47018;NP#1244
tariffa;N#4807;N#272
Tarragona;NP#47941;NP#1293
Tavolara-Punta_Coda_Cavallo;NP#46781;NP#2597
tavoletta;N#7985;N#1757
tecnologia;N#1907;N#2137
temperatura;N#15020;N#2508
tempo;N#14308;N#2278
temporale;AG#44012;N#1699
tender;N#30143;N#545
tenersi_a_galla;V#38151;V#1500
Terneuzen;NP#46661;NP#1294
terzarolare;V#34163;V#1700
tesare;V#33110;V#583
thalac;N#49602;N#538
timoniere;N#13144;N#947
tir;N#50179;N#2603
Tirreno;NP#46093;NP#1962
tiunia;N#49601;N#537
tonneggio;N#17828;N#1908
topo;N#49600;N#536
torneo;N#12725;N#2101
Toronto;NP#45670;NP#2160
torpediniera;N#16375;N#568
Torre_Guaceto;NP#48404;NP#2598
trabaccolo;N#49597;N#533
traghettare;V#34038;V#451
traghetto;N#14855;N#445
traghetto misto;N#49668;N#548
traguardo;N#27306;N#249
trambai;N#49599;N#535
tramoggia;N#49598;N#534
tramontana;N#20229;N#1003
transito;N#1285;N#276
Trapani;NP#48496;NP#2395
trapezio;N#51431;N#945
trasbordare;V#33062;V#653
trasbordo;N#5113;N#654
trasferire;V#35713;V#447
trasportare;V#50547;V#450
trasporto;N#50477;N#2237
trave;N#17112;N#1766
traversata;N#18511;N#470
traversino;N#18153;N#932
traverso;N#19068;N#1720
Trebisonda;NP#46727;NP#1295
tribordo;N#16596;N#712
Trieste;NP#46692;NP#2396
trimarano;N#19777;N#946
trincarino;N#30356;N#1761
trireme;N#933;N#1955
tronco;N#20785;N#2197
tubo;N#26059;N#2193
tuga;N#31060;N#1764
Tunisi;NP#47166;NP#2261
tuono;N#22902;N#2525
Turku;NP#46938;NP#1296
ufficiale;N#6817;N#2141
ufficio;N#1016;N#517
umidità;N#29639;N#2530
unire;V#33543;V#2641
unità;N#50342;N#520
unità_di_misura;N#19583;N#1177
uragano;N#31008;N#2095
urbe;N#21386;N#2672
uscita;N#30603;N#269
Ustica;NP#47125;NP#2599
utensile;N#1088;N#2173
valersi;V#33469;V#2021
Vancouver;NP#49431;NP#1253
vaporetto;N#30075;N#573
varare;V#40509;V#228
varea;N#22376;N#1668
Varna;NP#47698;NP#1297
varo;N#27976;N#1669
vascello;N#25681;N#569
Vasteras;NP#46471;NP#1298
vedetta;N#1543;N#2013
vela;N#24097;N#131
velaccino;N#30914;N#133
velaccio;N#31221;N#134
velame;N#15490;N#135
veleggiare;V#33561;V#148
veleggiatore;N#4397;N#72
velico;AG#43649;AG#730
veliero;N#6410;N#163
velista;N#3012;N#165
vendere;V#36793;V#939
venduto;N#24683;N#2188
Venezia;NP#45912;NP#1994
Ventotene_e_Santo_Stefano;NP#46919;NP#2600
vernice;N#25428;N#1686
versamento;N#28092;N#247
vettore;N#29851;N#278
viaggiare;V#50004;V#2684
viaggio;N#24029;N#2683
virare;V#51316;V#2618
virata;N#914;N#1685
visibilità;N#615;N#1688
visto;N#1504;N#514
Vittorio Veneto;NP#49673;NP#551
Vlissingen;NP#47534;NP#1299
Waterford;NP#48453;NP#1300
