Shared Lemma;IWN_WM_ID;MarT_WM_ID
Brindisi;NP#46827;NP#2445
Bristol;NP#47074;NP#1035
bruciato;AG#50590;AG#2122
bucaniere;N#4610;N#1276
bucintoro;N#31704;N#1940
buffo;N#722;N#2583
bugliolo;N#13858;N#891
bugna;N#49641;N#890
bulbo;N#50275;N#1010
burchiello;N#19048;N#1923
buriana;N#869;N#2572
bussola;N#20642;N#106
bussola da rilevamento;N#49631;N#293
bussola di rotta;N#49632;N#294
bussola giroscopica;N#49628;N#291
bussola magnetica;N#49629;N#292
buttafuori;N#23482;N#892
buttare;V#39500;V#2114
cabina;N#2022;N#1059
cabotaggio;N#49717;N#208
cacciasommergibili;N#3112;N#555
cacciatorpediniere;N#49586;N#553
cadenza;N#7737;N#2281
Cadice;NP#48433;NP#1042
Cagliari;NP#49173;NP#2259
caicco;N#49609;N#167
cala;N#49769;N#197
Calais;NP#48590;NP#1043
calare;V#38668;V#678
calcestruzzo;N#21503;N#2112
calma;N#3702;N#2083
calumare;V#38048;V#679
cambusa;N#13024;N#1055
cambusiere;N#1909;N#1056
camera;N#16317;N#648
campana;N#20937;N#1065
campionare;V#39697;V#595
campionato;N#27244;N#2097
canapa;N#27308;N#723
canapo;N#22505;N#649
cannoniera;N#4781;N#556
canoa;N#15569;N#361
canottaggio;N#19280;N#1971
canotto;N#21845;N#362
cantiere;N#6746;N#717
capitano;N#49411;N#511
capo;N#50539;N#1091
Capo_Carbonara;NP#46511;NP#2586
Capo_Rizzuto;NP#47750;NP#2587
cappa;N#11728;N#1179
cappellano;N#23742;N#807
Capraia;NP#48351;NP#2260
Capri;NP#47871;NP#2364
carabottino;N#51110;N#1333
caravella;N#7578;N#364
carboniere;N#49610;N#168
Cardiff;NP#47117;NP#2463
cardine;N#22857;N#994
carena;N#17265;N#720
carenaggio;N#6761;N#764
carenare;V#32246;V#765
cargo;N#49611;N#16
caricare;V#32393;V#446
carico;AG#45114;N#2020
carpenteria;N#13396;N#2203
Carrara;NP#47881;NP#2446
carrello;N#28098;N#1331
carroponte;N#20323;N#776
Cartagena;NP#46774;NP#1044
carteggiare;V#41035;V#780
carteggio;N#50737;N#779
Caspio;NP#46816;NP#2052
cassa;N#24555;N#596
cassero;N#15704;N#2000
catamarano;N#28196;N#1560
Catania;NP#48341;NP#2367
catena;N#21710;N#1181
cavallino;AG#51072;N#1182
cavitazione;N#10041;N#1183
cellulosa;N#22156;N#2196
cemento;N#5807;N#2108
centinatura;N#25265;N#1336
cerata;N#16432;N#1847
certificazione;N#12204;N#238
cessione;N#18151;N#597
Cherbourg;NP#47145;NP#1045
chiatta;N#21253;N#381
chiesuola;N#22005;N#640
chiglia;N#8155;N#109
Chioggia;NP#47524;NP#2447
ciclone;N#29425;N#1240
cilindro;N#21408;N#1375
Cinque_Terre;NP#47827;NP#2588
circolo Amici-Magnaghi;N#49621;N#966
circumnavigazione;N#4792;N#782
cirro;N#24421;N#1087
cirrocumulo;N#9158;N#2539
cirrostrato;N#14237;N#2540
cisterna;N#28766;N#1304
Civitavecchia;NP#45714;NP#2368
classe;N#29761;N#299
classificazione;N#7561;N#1338
clausola;N#14567;N#598
codice;N#15778;N#239
coffa;N#25906;N#460
cogliere;V#40052;V#1351
collettame;N#1486;N#2184
collidere;V#37355;V#339
collo;N#7060;N#1350
colonna;N#50952;N#641
coltellaccio;N#23333;N#665
comandante;N#10645;N#107
comando;N#23726;N#762
commettere;V#36677;V#2181
commissione;N#17327;N#241
committente;N#9162;N#599
commodoro;N#16817;N#2242
comperare;V#37118;V#940
condizione;N#16105;N#2148
